Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0813975388640472,0.349730166585041,0.745233391827634,0,0,0,12.720238406316,0.261391224287362,0.00262186748821055,1.91697306700848E-16,0.843990123685326,5.10428306001413E-17,0.664922609272974,0,0,0,0,0,0,package://drive/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/base.STL,,Chassis-1;Rocker NEW-1;Bogie NEW Rover(6 Wheel Rotate)-1;Bearing-5;Bearing-2;Top Plate 1-1;Top Plate 2-1;Top Plate Sci-2;Bogie NEW Rover(6 Wheel Rotate)-2;Bearing-6;Rocker NEW-2;Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bogie_front_left,0.0129852901860572,-3.88578058618805E-16,0.0657298216350096,0,0,0,0.245029467362339,0.000481938208354005,2.91379333855479E-19,2.30185129071683E-05,0.000539038649100082,1.60956143365272E-18,0.000142438687060036,0,0,0,0,0,0,package://drive/meshes/bogie_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/bogie_front_left.STL,,Wheel Base NEW-3,Origin_bogie_front_left,Axis_bogie_front_left,bogie_front_left,continuous,-0.43217,-1.0151,0,3.1416,0,1.4079,base,0,0,1,,,,,,,,,,,,
wheel_1,5.55111512312578E-17,-0.0225000000000002,-4.9960036108132E-16,0,0,0,0.969966731795851,0.00180858380199435,-6.87790753170492E-19,-3.21872519956634E-20,0.00321301479907376,-3.52365706057789E-19,0.00180858380199435,0,0,0,0,0,0,package://drive/meshes/wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/wheel_1.STL,,Wheel for now-6,Origin_wheel_1,Axis_wheel_1,wheel_1,continuous,0,0,0.11198,3.1416,1.3751,1.5708,bogie_front_left,0,1,0,,,,,,,,,,,,
bogie_middle_left,0.0129852901860572,-2.77555756156289E-17,0.0657298216350098,0,0,0,0.245029467362339,0.000481938208354005,3.57721817984611E-20,2.30185129071682E-05,0.000539038649100082,2.20773017023231E-20,0.000142438687060036,0,0,0,0,0,0,package://drive/meshes/bogie_middle_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/bogie_middle_left.STL,,Wheel Base NEW-6,Origin_bogie_middle_left,Axis_bogie_middle_left,bogie_middle_left,continuous,0.13025,-1.0151,0,-3.1416,0,1.5708,base,0,0,1,,,,,,,,,,,,
wheel_2,-2.77555756156289E-17,-0.0225000000000002,0,0,0,0,0.969966731795849,0.00180858380199434,7.49357438781787E-20,0,0.00321301479907375,-6.58844981459226E-21,0.00180858380199434,0,0,0,0,0,0,package://drive/meshes/wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/wheel_2.STL,,Wheel for now-4,Origin_wheel_2,Axis_wheel_2,wheel_2,continuous,0,0,0.111977638143316,0,0.196503831076818,-1.5707963267949,bogie_middle_left,0,1,0,,,,,,,,,,,,
rocker_left,0.0129852911708225,1.11022302462516E-16,0.0661603898916332,0,0,0,0.245029467362339,0.000481938209039244,4.07634570525163E-21,2.30185078538829E-05,0.000539038649100083,-4.63750538921162E-20,0.000142438686374797,0,0,0,0,0,0,package://drive/meshes/rocker_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/rocker_left.STL,,Wheel Base NEW-1,Origin_rocker_left,Axis_rocker_left,rocker_left,continuous,0.56095,-0.97013,-0.019803,3.1158,0,1.5708,base,0,0,1,,,,,,,,,,,,
wheel_3,-2.22044604925031E-16,0.0224999999999997,1.60982338570648E-15,0,0,0,0.969966731795849,0.00180858380199434,-1.7309010163403E-19,0,0.00321301479907375,-1.01193372727594E-19,0.00180858380199434,0,0,0,0,0,0,package://drive/meshes/wheel_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/wheel_3.STL,,Wheel for now-1,Origin_wheel_3,Axis_wheel_3,wheel_3,continuous,0,0,0.112408206593219,0,0.678247901894111,1.57079633878836,rocker_left,0,1,0,,,,,,,,,,,,
bogie_front_right,0.0129852901860573,-1.11022302462516E-16,0.0662521834916939,0,0,0,0.245029467362339,0.000481938208354006,-2.62275912106055E-20,2.30185129071678E-05,0.000539038649100083,3.50614081294898E-19,0.000142438687060036,0,0,0,0,0,0,package://drive/meshes/bogie_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/bogie_front_right.STL,,Wheel Base NEW-4,Origin_bogie_front_right,Axis_bogie_front_right,bogie_front_right,continuous,-0.43066,-0.47513,-0.0023177,3.1416,0,-1.5708,base,0,0,1,,,,,,,,,,,,
wheel_4,1.66533453693773E-16,-0.0224999999999997,-1.11022302462516E-16,0,0,0,0.969966731795849,0.00180858380199434,-4.01879759813685E-19,0,0.00321301479907375,-6.68853722148441E-20,0.00180858380199434,0,0,0,0,0,0,package://drive/meshes/wheel_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/wheel_4.STL,,Wheel for now-5,Origin_wheel_4,Axis_wheel_4,wheel_4,continuous,0,0,0.1125,0,0.698598377003227,-1.5707963267949,bogie_front_right,0,1,0,,,,,,,,,,,,
bogie_middle_right,0.0129852891007725,0.0414537955768247,0.0516810862683572,0,0,0,0.245029467362338,0.000481938207599867,1.44026196203906E-05,1.79559667118559E-05,0.000383771035147503,-0.000193574527611515,0.000297706301766753,0,0,0,0,0,0,package://drive/meshes/bogie_middle_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive/meshes/bogie_middle_right.STL,,Wheel Base NEW-5,Origin_bogie_middle_right,Axis_bogie_middle_right,bogie_middle_right,continuous,0.13176,-0.47513,-0.0023177,-2.4656,0,-1.5708,base,0,0.6257,0.78007,,,,,,,,,,,,
